"text"|"favorited"|"favoriteCount"|"replyToSN"|"created"|"truncated"|"replyToSID"|"id"|"replyToUID"|"statusSource"|"screenName"|"retweetCount"|"isRetweet"|"retweeted"|"longitude"|"latitude"
"RT @MilkChurnStands: Having read the #LibDemManifesto I wonder how many protest votes will be going to @MrFishFingerMP <ed><U+00A0><U+00BD><ed><U+00B8><U+008F>"|FALSE|0|NA|2017-05-17 17:15:01|FALSE|NA|"864892023110860801"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"rattycastle"|3|TRUE|FALSE|NA|NA
"And with the release of the #LibDemManifesto, comes the release of our Public Policy team's visual summary...… https://t.co/MAv7xtAIQV"|FALSE|1|NA|2017-05-17 17:14:56|TRUE|NA|"864891999601774594"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"InstinctifPtnrs"|4|FALSE|FALSE|NA|NA
"Lib Dem have definitely shot themselves in the foot with the manifesto #LibDemManifesto"|FALSE|2|NA|2017-05-17 17:14:55|FALSE|NA|"864891994816090114"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"MemeStubley"|0|FALSE|FALSE|NA|NA
"We NEED @electoralreform in UK, so #LibDemManifesto has to get my vote. Without it gov will continue to rep 30-40% of public &amp; UK will split"|FALSE|3|NA|2017-05-17 17:14:54|FALSE|NA|"864891992454680576"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"soapysoots"|0|FALSE|FALSE|NA|NA
"Generally a fan of the #LibDemManifesto and it's predictably divisive. Home policies on the long overdue legalisation of cannabis and the 1%"|FALSE|0|NA|2017-05-17 17:14:47|FALSE|NA|"864891961551052800"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"pringlecake"|0|FALSE|FALSE|NA|NA
"RT @UKDemockery: Liars &amp; Tory Austerity Enablers - Never Forget! #LibDemManifesto https://t.co/6h5MryuAW1"|FALSE|0|NA|2017-05-17 17:14:40|FALSE|NA|"864891935387000832"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"____________UK_"|118|TRUE|FALSE|NA|NA
"Overheard at #LibDemManifesto girl on phone to her mum: \"you're voting labour? but you voted UKIP last election?!\""|FALSE|0|NA|2017-05-17 17:14:40|FALSE|NA|"864891934921433096"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"therealjimjelly"|0|FALSE|FALSE|NA|NA
"RT @Femi_Sorry: #LibDemManifesto promises you a choice on the Brexit deal. Why? You were told we'd keep single market access. Wrong https:/…"|FALSE|0|NA|2017-05-17 17:14:38|FALSE|NA|"864891923475161088"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"P4V3D4RK3R"|15|TRUE|FALSE|NA|NA
"RT @AmandeepBhogal: A warm response on the doorsteps for #Conservative @mmaxwellscott in Carshalton and a #WashoutWednesday for wishy-washy…"|FALSE|0|NA|2017-05-17 17:14:36|FALSE|NA|"864891916785262592"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"dr_asifmirza"|20|TRUE|FALSE|NA|NA
"@BBCNews Am I missing something? If #Brexit referendum is binding for eternity, what happened to 1975 referendum? #LibDemManifesto #GE2017"|FALSE|1|"BBCNews"|2017-05-17 17:14:17|FALSE|NA|"864891838938918913"|"612473"|"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>"|"DrPaulKleiman"|0|FALSE|FALSE|NA|NA
"RT @RexApolloPound: An EU referendum? That's very thoughtful of you Tim, but we've already had one. #LibDemManifesto #VoteFishFinger https:…"|FALSE|0|NA|2017-05-17 17:14:11|FALSE|NA|"864891813097877504"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"couch_ian"|55|TRUE|FALSE|NA|NA
